"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Nov 03 20:19:02 UTC 2024","Sun Nov 03 20:19:02 UTC 2024","1","SwagLabs Test Suite","Swaglabs checkout tests","com.swaglabs.CheckoutTests","com.swaglabs.CheckoutTests","verifyUnsuccessfulCheckoutWithEmptyCart","verifyUnsuccessfulCheckoutWithEmptyCart",""
"skipped","Sun Nov 03 20:19:02 UTC 2024","Sun Nov 03 20:19:02 UTC 2024","1","SwagLabs Test Suite","Swaglabs checkout tests","com.swaglabs.CheckoutTests","com.swaglabs.CheckoutTests","verifyUnsuccessfulCheckoutWithEmptyLastName","verifyUnsuccessfulCheckoutWithEmptyLastName",""
"skipped","Sun Nov 03 20:19:02 UTC 2024","Sun Nov 03 20:19:02 UTC 2024","1","SwagLabs Test Suite","Swaglabs checkout tests","com.swaglabs.CheckoutTests","com.swaglabs.CheckoutTests","verifyUnsuccessfulCheckoutWithLettersPostalCode","verifyUnsuccessfulCheckoutWithLettersPostalCode",""
"skipped","Sun Nov 03 20:19:01 UTC 2024","Sun Nov 03 20:19:01 UTC 2024","0","SwagLabs Test Suite","Swaglabs login tests","com.swaglabs.LoginTests","com.swaglabs.LoginTests","invalidLoginWithInvalidUserTest","invalidLoginWithInvalidUserTest",""
"skipped","Sun Nov 03 20:19:02 UTC 2024","Sun Nov 03 20:19:02 UTC 2024","0","SwagLabs Test Suite","Swaglabs cart tests","com.swaglabs.CartTests","com.swaglabs.CartTests","addToCartAndCheckout","addToCartAndCheckout",""
"skipped","Sun Nov 03 20:19:01 UTC 2024","Sun Nov 03 20:19:01 UTC 2024","1","SwagLabs Test Suite","Swaglabs login tests","com.swaglabs.LoginTests","com.swaglabs.LoginTests","invalidLoginWithEmptyUserTest","invalidLoginWithEmptyUserTest",""
"broken","Sun Nov 03 20:19:02 UTC 2024","Sun Nov 03 20:19:02 UTC 2024","0","SwagLabs Test Suite","Swaglabs checkout tests","com.swaglabs.CheckoutTests","com.swaglabs.CheckoutTests","setUp","setUp",""
"skipped","Sun Nov 03 20:19:02 UTC 2024","Sun Nov 03 20:19:02 UTC 2024","10","SwagLabs Test Suite","Swaglabs checkout tests","com.swaglabs.CheckoutTests","com.swaglabs.CheckoutTests","verifySuccessfulCheckout","verifySuccessfulCheckout",""
"skipped","Sun Nov 03 20:19:02 UTC 2024","Sun Nov 03 20:19:02 UTC 2024","1","SwagLabs Test Suite","Swaglabs product tests","com.swaglabs.ProductsTests","com.swaglabs.ProductsTests","addProductsToCartAndRemoveProduct","addProductsToCartAndRemoveProduct",""
"skipped","Sun Nov 03 20:19:01 UTC 2024","Sun Nov 03 20:19:01 UTC 2024","1","SwagLabs Test Suite","Swaglabs login tests","com.swaglabs.LoginTests","com.swaglabs.LoginTests","invalidLoginWithEmptyDataTest","invalidLoginWithEmptyDataTest",""
"skipped","Sun Nov 03 20:19:02 UTC 2024","Sun Nov 03 20:19:02 UTC 2024","0","SwagLabs Test Suite","Swaglabs product tests","com.swaglabs.ProductsTests","com.swaglabs.ProductsTests","addOneProductToCart","addOneProductToCart",""
"skipped","Sun Nov 03 20:19:02 UTC 2024","Sun Nov 03 20:19:02 UTC 2024","0","SwagLabs Test Suite","Swaglabs cart tests","com.swaglabs.CartTests","com.swaglabs.CartTests","addProductAndRemoveItFromCartPage","addProductAndRemoveItFromCartPage",""
